Cave_ID	Cave_Name	Cave_Synonyms	Cave_Type	Region	Subregion	Municipality	Settlement	Longitude	Latitude	Altitude	Location_Status	Cave_short_references	Reference_ID	Protection_Status	Cave_Description
101	Spilaio Ellinospilios		Natural	Kriti	Chania	Platanias	Afrata	23.777063726	35.582010089	30	Location known	Lindberg 1955a|Petrocheilos 1952d	870|958	Archaeological Site - Ministerial Decision 21220/10-8-1967 (OGG 527/Β/24-8-1967)|GR4340003 - Chersonisos Rodopou - Paralia Maleme (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4340003" target="_blank"> Check site’s Standard Data Form</a>	
102	Spilaio Chrysopigis	Nasioutsik	Natural	Kentriki Makedonia	Serres	Serres	Chrysopigi	23.539695	41.149409	92	Location known	Lindberg 1955b	871		
103	Spilaio Rachi I		Natural	Attiki	Voreios Tomeas Attikis	Agia Paraskevi	Agia Paraskevi	23.827553	37.991033	572	Location known	Lindberg 1955b	871	GR3000015 - Oros Ymittos (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000015" target="_blank"> Check site’s Standard Data Form</a>|GR3000006 - Ymittos - Aisthitiko Dasos Kaisarianis - Limni Vouliagmenis (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000006" target="_blank"> Check site’s Standard Data Form</a>	
104	Spilaio Mayer		Natural	Sterea Ellada	Fokida	Delfoi	Stromi	22.245277778	38.681944444	1399	Location known			K337 - Lefkaditiou (Sykeas) [Wildlife Refuge]: OGG 540/Β/1986|GR2450007 - Koryfes Orous Gkiona, Charadra Reka, Lazorema and Vathia Lakka (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR2450007" target="_blank"> Check site’s Standard Data Form</a>|GR2450002 - Oros Gkiona (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR2450002" target="_blank"> Check site’s Standard Data Form</a>	
105	Spilaio Pataragkou Trypa		Natural	Dytiki Makedonia	Kastoria	Kastoria	Kastoria	21.281211	40.515406	830	Location known	Pallikaropoulos 1970|Lindberg 1955b	916|871	K112 - Limni-Vouno Kastorias [Wildlife Refuge]: OGG 717/Β/1997|GR1320001 - Limni Kastorias (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1320001" target="_blank"> Check site’s Standard Data Form</a>|GR1320003 - Limni Orestias (Kastorias) (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1320003" target="_blank"> Check site’s Standard Data Form</a>	
106	Spilaio Drakou	"Grotte Manthos"	Natural	Dytiki Makedonia	Kastoria	Kastoria	Kastoria	21.284678233	40.505446992	647	Location known	Nikolopoulos 1954|Lindberg 1955b|Zervoudakis 1964a|Vasilopoulos 1958|Petrocheilou 1984|Pallikaropoulos 1969	907|871|1146|1137|1073|915	GR1320003 - Limni Orestias (Kastorias) (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1320003" target="_blank"> Check site’s Standard Data Form</a>|GR1320001 - Limni Kastorias (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1320001" target="_blank"> Check site’s Standard Data Form</a>|K112 - Limni-Vouno Kastorias [Wildlife Refuge]: OGG 717/Β/1997	
107	Spilaio Agias Triadas Tzagkarolon		Natural	Kriti	Chania	Chania	Chordaki	24.135568793	35.561072741	88	Location known	Lindberg 1955a	870		
108	Spilaio Foli Spilios		Natural	Kriti	Chania	Platanias	Afrata	23.771430139	35.590723424	170	Location known	Lindberg 1955a	870	GR4340003 - Chersonisos Rodopou - Paralia Maleme (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4340003" target="_blank"> Check site’s Standard Data Form</a>	
109	Spilaio Kamilari IΙ		Natural	Kriti	Irakleio	Malevizi	Tylisos	25.017624	35.322974	279	Location known	Lindberg 1955a	870		
110	Spilaio Megalo Katofygi		Natural	Kriti	Lasithi	Siteia	Agios Georgios	26.054018534	35.129434671	510	Location known	Lindberg 1955a|Platakis 1964	870|1099		
111	Spilaio Mikri Grava	Halbhöhle am Nordabhang des Pantokratorgebirges	Natural	Ionioi Nisoi	Kerkyra	Kerkyra	Loutses	19.891284457	39.781547821	341	Location known				
112	Spilaio Mylou Katsouridi		Natural	Kriti	Rethymno	Mylopotamos	Angeliana	24.671555556	35.408611111	32	Location known	Lindberg 1955a	870		
113	Spilaio Neraidospilios 	Grotte Nereidospilia, Spilaio Eileithyias	Natural	Kriti	Irakleio	Chersonisos	Karteros	25.20543251	35.324541649	75	Location known	Lindberg 1955a|Petrocheilou 1984	870|1073	Archaeological Site - Ministerial Decisions:  9597/12-9-1970 (OGG 666/Β/23-9-1970), 1835/3071π.ε./17-11-1979 (OGG 210/Β/1-3-1980), 54962/2749/12-6-2012 (OGG 202/ΑΑΠ/14-6-2012)	
114	Spilaio Spiliara Almyrou		Natural	Kriti	Irakleio	Malevizi	Gazi	25.046966961	35.33278345	47	Location known	Brunet 1994|Lindberg 1955a	740|870	K705 - Almyros potamos – Keri Dimon Gaziou kai Tylissou [Wildlife Refuge]: OGG 680/Β/2002	
115	Spilaio Palaiokastritsas		Natural	Ionioi Nisoi	Kerkyra	Kerkyra	Palaiokastritsa	19.707255606	39.677813085	107	Location known				
116	Spilaio Katafygi		Natural	Peloponnisos	Messinia	Dytiki Mani	Agios Dimitrios	22.297459518	36.802884215	12	Location known	Ioannou 1973d|Ioannou 1975e|Lindberg 1955b|Petrocheilos 1953a|Petrocheilou 1984	820|832|871|959|1073		
117	Spilaio Evripidi	Grotte de Peristeria, Cave of Kochi Mt, Cave of Peristeria	Natural	Attiki	Nisoi Attikis	Salamina	Peristeria	23.452250176	37.882256128	121	Location known	Lindberg 1955b	871		
118	Spilaio Maara	Spilaio Angiti	Natural	Anatoliki Makedonia-Thraki	Drama	Prosotsani	Angitis	23.893834738	41.219924918	135	Location known	Lindberg 1955b|Petrocheilou 1984|Petrocheilos 1952a	871|1073|955	GR1150005 - Koryfes Orous Pangaio (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1150005" target="_blank"> Check site’s Standard Data Form</a>	
119	Spilaio Folia Drakou		Natural	Anatoliki Makedonia-Thraki	Drama	Kato Nevrokopi	Potamoi	24.091014	41.431119	420	Location known			GR1140008 - Kentriki Rodopi and Koilada Nestou (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1140008" target="_blank"> Check site’s Standard Data Form</a>	
120	Spilaio Trypa Pachnis	Raevitsa 1 (Dupkata)	Natural	Anatoliki Makedonia-Thraki	Xanthi	Mykis	Pachni	24.893606	41.313178	680	Location known				
121	Spilaio  Pachnis	Raevitsa 2	Natural	Anatoliki Makedonia-Thraki	Xanthi	Mykis	Pachni	24.894408	41.313202	600	Location known				
123	Spilaio Spiliara		Artificial	Kriti	Irakleio	Irakleio	Agia Eirini (Spilia)	25.164280408	35.278013854	152	Location known			K859 - Oros Giouchta kai Farangi Agias Eirinis Dimos Archanon [Wildlife Refuge]: OGG 927/Β/2002	
125	Anonymous cave II at Kapnofyto		Natural	Kentriki Makedonia	Serres	Sintiki	Kapnofyto	23.480738877	41.294872003	332	Location known	Lindberg 1955b	871		
126	Spilaio Drakoneras		Natural	Attiki	Anatoliki Attiki	Marathonas	Kato Souli	24.038018787	38.160521627	78	Location known	Lindberg 1955b	871	GR3000003 - Ethniko Parko Schinia - Marathona (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000003" target="_blank"> Check site’s Standard Data Form</a>|GR3000016 - Ygrotopos Schinia (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000016" target="_blank"> Check site’s Standard Data Form</a>	
